,Sex,Single Year of Age,Administrative Counties,VALUE
3960,Male,20 years,Galway County Council,1078
3961,Male,20 years,Leitrim County Council,185
3962,Male,20 years,Mayo  County Council,652
3963,Male,20 years,Roscommon County Council,375
3964,Male,20 years,Sligo County Council,427
3965,Male,20 years,Cavan County Council,455
3966,Male,20 years,Donegal County Council,941
3967,Male,20 years,Monaghan County Council,349
3968,Male,21 years,Ireland,30771
3969,Male,21 years,Carlow County Council,432
3970,Male,21 years,Dublin City Council,3903
3971,Male,21 years,Dún Laoghaire Rathdown County Council,1480
3972,Male,21 years,Fingal County Council,1959
3973,Male,21 years,South Dublin County Council,1900
3974,Male,21 years,Kildare County Council,1587
3975,Male,21 years,Kilkenny County Council,574
3976,Male,21 years,Laois County Council,534
3977,Male,21 years,Longford County Council,274
3978,Male,21 years,Louth County Council,897
3979,Male,21 years,Meath County Council,1330
3980,Male,21 years,Offaly County Council,466
3981,Male,21 years,Westmeath County Council,572
3982,Male,21 years,Wexford County Council,801
3983,Male,21 years,Wicklow County Council,879
3984,Male,21 years,Clare County Council,655
3985,Male,21 years,Cork City Council,1667
3986,Male,21 years,Cork County Council,1871
3987,Male,21 years,Kerry County Council,756
3988,Male,21 years,Limerick City & County Council,1343
3989,Male,21 years,Tipperary County Council,939
3990,Male,21 years,Waterford City & County Council,772
3991,Male,21 years,Galway City Council,923
3992,Male,21 years,Galway County Council,1010
3993,Male,21 years,Leitrim County Council,146
3994,Male,21 years,Mayo  County Council,629
3995,Male,21 years,Roscommon County Council,343
3996,Male,21 years,Sligo County Council,449
3997,Male,21 years,Cavan County Council,442
3998,Male,21 years,Donegal County Council,887
3999,Male,21 years,Monaghan County Council,351
4000,Male,22 years,Ireland,31450
4001,Male,22 years,Carlow County Council,408
4002,Male,22 years,Dublin City Council,4372
4003,Male,22 years,Dún Laoghaire Rathdown County Council,1607
4004,Male,22 years,Fingal County Council,1983
4005,Male,22 years,South Dublin County Council,1873
4006,Male,22 years,Kildare County Council,1510
4007,Male,22 years,Kilkenny County Council,555
4008,Male,22 years,Laois County Council,517
4009,Male,22 years,Longford County Council,259
4010,Male,22 years,Louth County Council,852
4011,Male,22 years,Meath County Council,1314
4012,Male,22 years,Offaly County Council,502
4013,Male,22 years,Westmeath County Council,535
4014,Male,22 years,Wexford County Council,878
4015,Male,22 years,Wicklow County Council,870
4016,Male,22 years,Clare County Council,775
4017,Male,22 years,Cork City Council,1842
4018,Male,22 years,Cork County Council,1832
4019,Male,22 years,Kerry County Council,790
4020,Male,22 years,Limerick City & County Council,1478
4021,Male,22 years,Tipperary County Council,909
4022,Male,22 years,Waterford City & County Council,751
4023,Male,22 years,Galway City Council,895
4024,Male,22 years,Galway County Council,928
4025,Male,22 years,Leitrim County Council,170
4026,Male,22 years,Mayo  County Council,624
4027,Male,22 years,Roscommon County Council,347
4028,Male,22 years,Sligo County Council,411
4029,Male,22 years,Cavan County Council,441
4030,Male,22 years,Donegal County Council,870
4031,Male,22 years,Monaghan County Council,352
4032,Male,23 years,Ireland,30871
4033,Male,23 years,Carlow County Council,376
4034,Male,23 years,Dublin City Council,4839
4035,Male,23 years,Dún Laoghaire Rathdown County Council,1566
4036,Male,23 years,Fingal County Council,1926
4037,Male,23 years,South Dublin County Council,1899
4038,Male,23 years,Kildare County Council,1469
4039,Male,23 years,Kilkenny County Council,523
4040,Male,23 years,Laois County Council,503
4041,Male,23 years,Longford County Council,266
4042,Male,23 years,Louth County Council,812
4043,Male,23 years,Meath County Council,1257
4044,Male,23 years,Offaly County Council,453
4045,Male,23 years,Westmeath County Council,584
4046,Male,23 years,Wexford County Council,854
4047,Male,23 years,Wicklow County Council,811
4048,Male,23 years,Clare County Council,632
4049,Male,23 years,Cork City Council,1721
4050,Male,23 years,Cork County Council,1785
4051,Male,23 years,Kerry County Council,834
4052,Male,23 years,Limerick City & County Council,1351
4053,Male,23 years,Tipperary County Council,866
4054,Male,23 years,Waterford City & County Council,740
4055,Male,23 years,Galway City Council,795
4056,Male,23 years,Galway County Council,907
4057,Male,23 years,Leitrim County Council,177
4058,Male,23 years,Mayo  County Council,619
4059,Male,23 years,Roscommon County Council,336
4060,Male,23 years,Sligo County Council,365
4061,Male,23 years,Cavan County Council,436
4062,Male,23 years,Donegal County Council,809
4063,Male,23 years,Monaghan County Council,360
4064,Male,24 years,Ireland,30234
4065,Male,24 years,Carlow County Council,340
4066,Male,24 years,Dublin City Council,5137
4067,Male,24 years,Dún Laoghaire Rathdown County Council,1508
4068,Male,24 years,Fingal County Council,1818
4069,Male,24 years,South Dublin County Council,1855
4070,Male,24 years,Kildare County Council,1340
4071,Male,24 years,Kilkenny County Council,526
4072,Male,24 years,Laois County Council,471
4073,Male,24 years,Longford County Council,239
4074,Male,24 years,Louth County Council,737
4075,Male,24 years,Meath County Council,1170
4076,Male,24 years,Offaly County Council,437
4077,Male,24 years,Westmeath County Council,567
4078,Male,24 years,Wexford County Council,837
4079,Male,24 years,Wicklow County Council,725
4080,Male,24 years,Clare County Council,649
4081,Male,24 years,Cork City Council,1687
4082,Male,24 years,Cork County Council,1704
4083,Male,24 years,Kerry County Council,750
4084,Male,24 years,Limerick City & County Council,1355
4085,Male,24 years,Tipperary County Council,842
4086,Male,24 years,Waterford City & County Council,711
4087,Male,24 years,Galway City Council,855
4088,Male,24 years,Galway County Council,899
4089,Male,24 years,Leitrim County Council,147
4090,Male,24 years,Mayo  County Council,644
4091,Male,24 years,Roscommon County Council,285
4092,Male,24 years,Sligo County Council,373
4093,Male,24 years,Cavan County Council,429
4094,Male,24 years,Donegal County Council,821
4095,Male,24 years,Monaghan County Council,376
4096,Male,25 years,Ireland,29969
4097,Male,25 years,Carlow County Council,330
4098,Male,25 years,Dublin City Council,5634
4099,Male,25 years,Dún Laoghaire Rathdown County Council,1532
4100,Male,25 years,Fingal County Council,1831
4101,Male,25 years,South Dublin County Council,1761
4102,Male,25 years,Kildare County Council,1344
4103,Male,25 years,Kilkenny County Council,539
4104,Male,25 years,Laois County Council,437
4105,Male,25 years,Longford County Council,210
4106,Male,25 years,Louth County Council,750
4107,Male,25 years,Meath County Council,1073
4108,Male,25 years,Offaly County Council,424
4109,Male,25 years,Westmeath County Council,517
4110,Male,25 years,Wexford County Council,793
4111,Male,25 years,Wicklow County Council,687
4112,Male,25 years,Clare County Council,627
4113,Male,25 years,Cork City Council,1779
4114,Male,25 years,Cork County Council,1590
4115,Male,25 years,Kerry County Council,755
4116,Male,25 years,Limerick City & County Council,1346
4117,Male,25 years,Tipperary County Council,844
4118,Male,25 years,Waterford City & County Council,654
4119,Male,25 years,Galway City Council,788
4120,Male,25 years,Galway County Council,802
4121,Male,25 years,Leitrim County Council,142
4122,Male,25 years,Mayo  County Council,598
4123,Male,25 years,Roscommon County Council,312
4124,Male,25 years,Sligo County Council,359
4125,Male,25 years,Cavan County Council,438
4126,Male,25 years,Donegal County Council,757
4127,Male,25 years,Monaghan County Council,316
4128,Male,26 years,Ireland,29376
4129,Male,26 years,Carlow County Council,330
4130,Male,26 years,Dublin City Council,5732
4131,Male,26 years,Dún Laoghaire Rathdown County Council,1537
4132,Male,26 years,Fingal County Council,1841
4133,Male,26 years,South Dublin County Council,1713
4134,Male,26 years,Kildare County Council,1235
4135,Male,26 years,Kilkenny County Council,472
4136,Male,26 years,Laois County Council,459
4137,Male,26 years,Longford County Council,250
4138,Male,26 years,Louth County Council,676
4139,Male,26 years,Meath County Council,1008
4140,Male,26 years,Offaly County Council,409
4141,Male,26 years,Westmeath County Council,527
4142,Male,26 years,Wexford County Council,803
4143,Male,26 years,Wicklow County Council,667
4144,Male,26 years,Clare County Council,586
4145,Male,26 years,Cork City Council,1757
4146,Male,26 years,Cork County Council,1512
4147,Male,26 years,Kerry County Council,711
4148,Male,26 years,Limerick City & County Council,1264
4149,Male,26 years,Tipperary County Council,768
4150,Male,26 years,Waterford City & County Council,641
4151,Male,26 years,Galway City Council,771
4152,Male,26 years,Galway County Council,842
4153,Male,26 years,Leitrim County Council,156
4154,Male,26 years,Mayo  County Council,579
4155,Male,26 years,Roscommon County Council,316
4156,Male,26 years,Sligo County Council,316
4157,Male,26 years,Cavan County Council,402
4158,Male,26 years,Donegal County Council,772
4159,Male,26 years,Monaghan County Council,324
4160,Male,27 years,Ireland,29162
4161,Male,27 years,Carlow County Council,349
4162,Male,27 years,Dublin City Council,5965
4163,Male,27 years,Dún Laoghaire Rathdown County Council,1471
4164,Male,27 years,Fingal County Council,1809
4165,Male,27 years,South Dublin County Council,1745
4166,Male,27 years,Kildare County Council,1294
4167,Male,27 years,Kilkenny County Council,470
4168,Male,27 years,Laois County Council,482
4169,Male,27 years,Longford County Council,230
4170,Male,27 years,Louth County Council,697
4171,Male,27 years,Meath County Council,992
4172,Male,27 years,Offaly County Council,417
4173,Male,27 years,Westmeath County Council,505
4174,Male,27 years,Wexford County Council,743
4175,Male,27 years,Wicklow County Council,682
4176,Male,27 years,Clare County Council,593
4177,Male,27 years,Cork City Council,1702
4178,Male,27 years,Cork County Council,1526
4179,Male,27 years,Kerry County Council,713
4180,Male,27 years,Limerick City & County Council,1229
4181,Male,27 years,Tipperary County Council,775
4182,Male,27 years,Waterford City & County Council,639
4183,Male,27 years,Galway City Council,730
4184,Male,27 years,Galway County Council,672
4185,Male,27 years,Leitrim County Council,137
4186,Male,27 years,Mayo  County Council,556
4187,Male,27 years,Roscommon County Council,275
4188,Male,27 years,Sligo County Council,337
4189,Male,27 years,Cavan County Council,380
4190,Male,27 years,Donegal County Council,695
4191,Male,27 years,Monaghan County Council,352
4192,Male,28 years,Ireland,28902
4193,Male,28 years,Carlow County Council,304
4194,Male,28 years,Dublin City Council,5931
4195,Male,28 years,Dún Laoghaire Rathdown County Council,1412
4196,Male,28 years,Fingal County Council,1772
4197,Male,28 years,South Dublin County Council,1741
4198,Male,28 years,Kildare County Council,1226
4199,Male,28 years,Kilkenny County Council,480
4200,Male,28 years,Laois County Council,441
4201,Male,28 years,Longford County Council,224
4202,Male,28 years,Louth County Council,739
4203,Male,28 years,Meath County Council,1021
4204,Male,28 years,Offaly County Council,404
4205,Male,28 years,Westmeath County Council,471
4206,Male,28 years,Wexford County Council,740
4207,Male,28 years,Wicklow County Council,707
4208,Male,28 years,Clare County Council,580
4209,Male,28 years,Cork City Council,1712
4210,Male,28 years,Cork County Council,1514
4211,Male,28 years,Kerry County Council,666
4212,Male,28 years,Limerick City & County Council,1153
4213,Male,28 years,Tipperary County Council,809
4214,Male,28 years,Waterford City & County Council,607
4215,Male,28 years,Galway City Council,704
4216,Male,28 years,Galway County Council,784
4217,Male,28 years,Leitrim County Council,143
4218,Male,28 years,Mayo  County Council,598
4219,Male,28 years,Roscommon County Council,297
4220,Male,28 years,Sligo County Council,310
4221,Male,28 years,Cavan County Council,389
4222,Male,28 years,Donegal County Council,714
4223,Male,28 years,Monaghan County Council,309
4224,Male,29 years,Ireland,29989
4225,Male,29 years,Carlow County Council,353
4226,Male,29 years,Dublin City Council,6102
4227,Male,29 years,Dún Laoghaire Rathdown County Council,1431
4228,Male,29 years,Fingal County Council,1824
4229,Male,29 years,South Dublin County Council,1786
4230,Male,29 years,Kildare County Council,1329
4231,Male,29 years,Kilkenny County Council,530
4232,Male,29 years,Laois County Council,448
4233,Male,29 years,Longford County Council,205
4234,Male,29 years,Louth County Council,708
4235,Male,29 years,Meath County Council,1091
4236,Male,29 years,Offaly County Council,411
4237,Male,29 years,Westmeath County Council,555
4238,Male,29 years,Wexford County Council,760
4239,Male,29 years,Wicklow County Council,696
4240,Male,29 years,Clare County Council,605
4241,Male,29 years,Cork City Council,1717
4242,Male,29 years,Cork County Council,1603
4243,Male,29 years,Kerry County Council,706
4244,Male,29 years,Limerick City & County Council,1230
4245,Male,29 years,Tipperary County Council,823
4246,Male,29 years,Waterford City & County Council,622
4247,Male,29 years,Galway City Council,737
4248,Male,29 years,Galway County Council,847
4249,Male,29 years,Leitrim County Council,156
4250,Male,29 years,Mayo  County Council,599
4251,Male,29 years,Roscommon County Council,314
4252,Male,29 years,Sligo County Council,327
4253,Male,29 years,Cavan County Council,390
4254,Male,29 years,Donegal County Council,754
4255,Male,29 years,Monaghan County Council,330
4256,Male,30 years,Ireland,30858
4257,Male,30 years,Carlow County Council,367
4258,Male,30 years,Dublin City Council,6163
4259,Male,30 years,Dún Laoghaire Rathdown County Council,1511
4260,Male,30 years,Fingal County Council,1888
4261,Male,30 years,South Dublin County Council,1819
4262,Male,30 years,Kildare County Council,1372
4263,Male,30 years,Kilkenny County Council,513
4264,Male,30 years,Laois County Council,470
4265,Male,30 years,Longford County Council,263
4266,Male,30 years,Louth County Council,769
4267,Male,30 years,Meath County Council,1097
4268,Male,30 years,Offaly County Council,447
